一ㄅㄟㄅㄟ 預備
ㄅ響禮我 不想理我
ㄅ告數你 不告訴你
ㄅㄧˇㄐㄧˇ 荸薺
ㄅㄨㄅㄨ 機車
同一班ㄅ 同一班吧
祝福我ㄅ 祝福我吧
玩玩看ㄅ 玩玩看吧
ㄅㄧㄤˋ 爆
ㄅㄅㄅ 動
ㄅㄨㄚ 擲
ㄅㄨㄟ 杯
ㄅ告訴 不告訴
ㄅ可能 不可能
ㄅ在乎 不在乎
ㄅ洗頭 不洗頭
ㄅ相信 不相信
ㄅ怎麼 不怎麼
受ㄅ了 受不了
考ㄅ上 考不上
辦法ㄅ 辦法吧
好玩ㄅ 好玩吧
藉口ㄅ 藉口吧
堅持ㄅ 堅持吧
覺ㄉㄅ 覺得不
ㄅ支持 不支持
ㄅ高興 不高興
ㄅ主動 不主動
ㄅ認識 不認識
是ㄅ是 是不是
ㄅ容易 不容易
小ㄅㄨ 機車
老ㄅㄟ 老爸
ㄅㄜ 親
ㄅㄟ 吧
ㄅㄅ 爸爸
ㄅㄚ 吧
全ㄅ 全部
ㄅ饒 不饒
ㄅ懂 不懂
ㄅ夠 不夠
ㄅ選 不選
是ㄅ 是吧
ㄅ知 不知
ㄅ會 不會
ㄅ要 不要
ㄅ到 不到
ㄅ過 不過
ㄅ能 不能
ㄅ想 不想
ㄅ紅 不紅
ㄅ喘 不喘
進ㄅ 進步
ㄉㄅ 的吧
ㄅ要 不要
ㄅ管 不管
ㄅ懂 不懂
ㄅ是 不是
ㄅ用 不用
ㄅ該 不該
ㄅ然 不然
ㄅ錯 不錯
ㄅ可 不可
ㄅ像 不像
ㄅ 吧
ㄑㄉ 去的
我ㄇ 我們
你ㄇ 你們
他ㄇ 他們
那ㄇ 那麼
怎ㄇ 怎麼
ㄇㄇ 媽媽
ㄇ 嗎
ㄉ 的
ㄍ 個
ㄎ惡 可惡
ㄌ 了
ㄛ 喔
ㄊ 他
ㄋㄟ 耶
ㄋ 你
ㄑ 去
喽 囉
ㄚ 阿
不可思義 不可思議
告數 告訴
